Land_ID,Location,State,District,Land_Type,Area_Acres,Current_Price_Per_Acre,Total_Value,Year_Purchased,Distance_to_Highway_KM,Distance_to_City_KM,Distance_to_Airport_KM,Water_Availability,Electricity_Availability,Zoning,Annual_Appreciation_Percent,Risk_Score,Market_Demand_Index,Expected_ROI_5Y,Population_Growth_Rate,Infrastructure_Score,Flood_Risk,Rental_Yield_Percent,Government_Project_Score,Road_Connectivity_Score,Last_Updated
L00016,Puri,Odisha,Puri,Agricultural,5.75,3262717,18760622.75,2017,9.7,63.3,39.7,Yes,Yes,Agricultural,24.79,3,91,67,1.64,85,3,10.31,64,82,2026-05-29
L00017,Chennai,Tamil Nadu,Chennai,Industrial,13.59,2972081,40390580.79,2021,36.6,44.1,49.8,No,Yes,Residential,11.53,2,80,80,3.05,43,2,3.3,56,64,2026-05-29
L00018,Chennai,Tamil Nadu,Chennai,Agricultural,10.25,12030509,123312717.25,2025,42.1,63.5,68.7,Yes,Yes,Commercial,8.72,3,75,145,1.16,67,2,10.54,93,48,2026-05-29
L00019,Bhubaneswar,Odisha,Khordha,Industrial,5.27,9015437,47511352.99,2017,19.3,31.3,15.0,No,Yes,Agricultural,4.62,2,95,71,4.92,54,3,4.41,71,59,2026-05-29
L00020,Hyderabad,Telangana,Hyderabad,Residential,7.61,2849605,21685494.05,2019,2.1,72.4,68.6,No,No,Commercial,13.57,5,82,103,2.51,66,5,6.6,88,87,2026-05-29
L00021,Hyderabad,Telangana,Hyderabad,Agricultural,2.22,7254857,16105782.54,2024,44.7,58.6,32.2,No,No,Residential,4.06,5,99,46,2.88,100,2,2.79,97,77,2026-05-29
L00022,Bengaluru,Karnataka,Bengaluru Urban,Residential,18.3,14452486,264480493.8,2023,45.4,4.6,114.3,Yes,No,Residential,10.75,1,87,125,0.99,45,1,7.44,95,57,2026-05-29
L00023,Bengaluru,Karnataka,Bengaluru Urban,Agricultural,13.59,7334398,99674468.82,2017,41.3,5.9,34.3,Yes,No,Industrial,11.05,5,45,109,4.51,85,1,3.97,91,86,2026-05-29
L00024,Rourkela,Odisha,Sundargarh,Industrial,22.89,4927181,112783173.09,2019,31.4,26.5,73.9,No,Yes,Mixed Use,15.2,4,76,70,5.06,52,2,8.46,62,97,2026-05-29
L00025,Rourkela,Odisha,Sundargarh,Agricultural,20.06,14977623,300451117.38,2023,21.8,45.5,64.4,Yes,No,Residential,19.52,1,44,104,3.83,49,4,7.31,42,91,2026-05-29
L00026,Bengaluru,Karnataka,Bengaluru Urban,Commercial,2.17,7913649,17172618.33,2019,38.3,48.1,103.6,Yes,No,Agricultural,3.75,5,76,50,4.71,95,4,9.18,40,69,2026-05-29
L00027,Pune,Maharashtra,Pune,Industrial,2.42,4390705,10625506.1,2024,13.2,41.4,52.5,Yes,No,Residential,22.45,2,65,39,0.68,43,4,2.09,51,74,2026-05-29
L00028,Bengaluru,Karnataka,Bengaluru Urban,Residential,4.83,14818096,71571403.68,2016,49.9,63.6,54.6,Yes,Yes,Mixed Use,22.11,1,58,84,1.56,49,3,7.92,89,72,2026-05-29
L00029,Chennai,Tamil Nadu,Chennai,Industrial,14.74,8315505,122570543.7,2015,40.5,49.8,104.1,Yes,Yes,Commercial,14.26,4,77,85,0.63,56,1,4.87,88,43,2026-05-29
L00030,Rourkela,Odisha,Sundargarh,Commercial,11.5,13222656,152060544.0,2017,32.6,68.5,42.4,No,Yes,Agricultural,15.23,3,72,78,3.86,63,3,3.2,73,97,2026-05-29
L00031,Sambalpur,Odisha,Sambalpur,Agricultural,7.67,9048194,69399647.98,2026,12.9,26.8,82.8,No,No,Mixed Use,24.53,2,53,66,1.34,57,3,7.43,74,60,2026-05-29
L00032,Sambalpur,Odisha,Sambalpur,Industrial,7.04,12834280,90353331.2,2024,38.2,31.7,69.5,No,Yes,Mixed Use,21.57,5,47,142,0.73,57,3,2.76,76,47,2026-05-29
L00033,Sambalpur,Odisha,Sambalpur,Residential,20.11,9519101,191429121.11,2019,42.0,65.5,67.0,No,No,Industrial,12.98,4,100,36,1.45,71,5,6.67,70,46,2026-05-29
L00034,Sambalpur,Odisha,Sambalpur,Agricultural,17.89,6706698,119982827.22,2018,7.8,38.0,14.0,No,No,Commercial,23.3,1,77,144,3.24,75,3,1.17,60,84,2026-05-29
L00035,Cuttack,Odisha,Cuttack,Commercial,9.72,7156119,69557476.68,2022,24.3,53.3,105.9,No,Yes,Industrial,17.36,4,87,76,2.8,88,2,2.73,69,55,2026-05-29
L00036,Chennai,Tamil Nadu,Chennai,Industrial,15.81,14558997,230177742.57,2020,40.2,61.0,23.4,No,No,Agricultural,16.5,3,53,132,4.27,57,1,4.26,59,65,2026-05-29
L00037,Bengaluru,Karnataka,Bengaluru Urban,Commercial,15.21,12038269,183102071.49,2022,35.1,50.9,47.3,Yes,No,Agricultural,22.44,5,95,28,0.59,47,3,9.38,49,92,2026-05-29
L00038,Chennai,Tamil Nadu,Chennai,Agricultural,17.23,4869475,83901054.25,2020,38.5,6.3,55.7,No,Yes,Agricultural,18.79,2,54,122,5.94,78,5,5.17,68,79,2026-05-29
L00039,Rourkela,Odisha,Sundargarh,Agricultural,2.25,8977475,20199318.75,2019,22.1,21.8,51.1,Yes,No,Commercial,10.61,4,79,71,0.5,72,5,4.49,86,45,2026-05-29
L00040,Rourkela,Odisha,Sundargarh,Residential,13.47,11749992,158272392.24,2016,25.5,60.9,70.3,No,No,Agricultural,20.49,3,89,23,2.72,58,4,4.42,49,73,2026-05-29
L00041,Bengaluru,Karnataka,Bengaluru Urban,Industrial,13.23,12020124,159026240.52,2015,1.2,26.5,10.9,No,Yes,Commercial,3.39,1,81,107,4.05,56,3,9.65,82,89,2026-05-29
L00042,Puri,Odisha,Puri,Agricultural,5.67,7564991,42893498.97,2016,26.7,75.0,119.4,No,No,Industrial,16.31,4,43,84,4.66,50,3,3.22,47,93,2026-05-29
L00043,Bhubaneswar,Odisha,Khordha,Residential,18.9,6325701,119555748.9,2025,41.5,33.4,20.8,Yes,No,Agricultural,24.03,3,73,49,3.52,70,2,9.94,55,84,2026-05-29
L00044,Puri,Odisha,Puri,Residential,5.29,12302567,65080579.43,2026,31.3,66.8,99.5,Yes,Yes,Mixed Use,19.63,4,55,128,3.55,69,3,9.11,98,57,2026-05-29
L00045,Rourkela,Odisha,Sundargarh,Residential,10.71,9657904,103436151.84,2023,35.5,49.0,117.5,No,No,Agricultural,15.75,2,56,137,1.01,77,4,10.8,91,87,2026-05-29
L00046,Cuttack,Odisha,Cuttack,Industrial,2.12,12566571,26641130.52,2025,17.3,60.4,76.3,Yes,No,Commercial,15.19,2,63,54,3.7,95,1,7.05,55,61,2026-05-29
L00047,Bengaluru,Karnataka,Bengaluru Urban,Industrial,13.28,11836098,157183381.44,2024,16.2,71.7,66.0,Yes,No,Residential,21.23,3,98,123,1.92,47,5,10.68,47,64,2026-05-29
L00048,Sambalpur,Odisha,Sambalpur,Commercial,24.3,4586049,111440990.7,2026,48.1,26.4,24.0,No,No,Industrial,12.34,3,75,57,4.69,86,3,7.57,56,41,2026-05-29
L00049,Chennai,Tamil Nadu,Chennai,Agricultural,20.71,2869692,59431321.32,2016,18.2,78.9,50.0,No,No,Residential,13.81,5,81,82,3.71,95,5,7.04,56,93,2026-05-29
L00050,Sambalpur,Odisha,Sambalpur,Residential,11.44,13341788,152630054.72,2015,32.7,30.0,66.8,No,Yes,Residential,20.55,5,77,113,2.04,52,4,9.24,81,91,2026-05-29
L00051,Rourkela,Odisha,Sundargarh,Agricultural,23.77,8156720,193885234.4,2026,36.2,53.8,3.7,Yes,Yes,Residential,14.78,5,71,146,5.17,77,5,3.83,96,51,2026-05-29
L00052,Bhubaneswar,Odisha,Khordha,Commercial,20.55,7495423,154030942.65,2021,17.0,79.5,105.7,No,Yes,Agricultural,8.99,2,85,115,5.96,62,1,9.07,46,94,2026-05-29
L00053,Hyderabad,Telangana,Hyderabad,Residential,24.16,2430199,58713607.84,2015,48.4,59.5,54.6,No,No,Industrial,13.54,2,76,74,1.22,82,4,6.9,52,75,2026-05-29
L00054,Bhubaneswar,Odisha,Khordha,Commercial,20.7,3186288,65956161.6,2018,34.5,3.7,110.2,No,No,Agricultural,23.63,1,66,48,1.02,53,5,7.22,61,59,2026-05-29
L00055,Bengaluru,Karnataka,Bengaluru Urban,Agricultural,7.57,2287919,17319546.83,2021,1.9,35.8,24.1,Yes,Yes,Agricultural,5.14,5,63,96,1.87,57,2,5.32,42,100,2026-05-29
L00056,Pune,Maharashtra,Pune,Residential,1.76,4403886,7750839.36,2024,33.9,13.3,38.3,Yes,No,Residential,14.99,1,41,33,0.53,70,3,11.0,93,64,2026-05-29
L00057,Bhubaneswar,Odisha,Khordha,Agricultural,23.17,12986134,300888724.78,2024,30.6,67.8,39.8,No,Yes,Residential,18.25,5,57,130,5.73,81,5,9.44,67,54,2026-05-29
L00058,Chennai,Tamil Nadu,Chennai,Agricultural,2.45,7323955,17943689.75,2023,25.6,46.8,106.8,No,Yes,Agricultural,13.47,3,56,78,3.7,55,4,7.21,74,41,2026-05-29
L00059,Sambalpur,Odisha,Sambalpur,Agricultural,15.99,11525906,184299236.94,2024,1.6,68.7,107.2,Yes,Yes,Residential,22.55,5,65,103,3.62,97,1,1.43,51,53,2026-05-29
L00060,Puri,Odisha,Puri,Commercial,16.83,5315796,89464846.68,2025,27.6,72.9,43.4,No,No,Residential,5.67,5,85,107,3.0,81,4,8.91,48,55,2026-05-29
L00061,Pune,Maharashtra,Pune,Commercial,15.74,11355026,178728109.24,2026,20.7,67.5,33.1,No,No,Commercial,18.57,3,46,84,0.74,88,1,6.55,74,98,2026-05-29
L00062,Cuttack,Odisha,Cuttack,Residential,3.14,7871223,24715640.22,2019,39.2,55.1,61.2,No,Yes,Mixed Use,11.33,4,79,56,4.37,76,4,8.61,49,67,2026-05-29
L00063,Visakhapatnam,Andhra Pradesh,Visakhapatnam,Commercial,21.06,11801708,248543970.48,2018,44.0,59.8,44.5,Yes,Yes,Industrial,13.57,3,83,122,5.0,47,1,9.61,71,95,2026-05-29
L00064,Chennai,Tamil Nadu,Chennai,Agricultural,0.57,3167622,1805544.54,2019,6.9,5.9,83.1,Yes,No,Industrial,19.89,3,49,117,2.66,94,2,8.44,80,44,2026-05-29
L00065,Chennai,Tamil Nadu,Chennai,Agricultural,1.36,10192350,13861596.0,2021,10.7,49.3,62.4,No,No,Industrial,14.62,4,40,40,2.77,53,1,5.32,44,77,2026-05-29
L00066,Pune,Maharashtra,Pune,Residential,0.89,6813210,6063756.9,2025,0.8,71.0,41.7,No,No,Commercial,16.22,2,92,35,1.49,57,2,5.99,93,99,2026-05-29
L00067,Bhubaneswar,Odisha,Khordha,Agricultural,5.76,2142173,12338916.48,2024,14.0,76.3,47.9,Yes,Yes,Mixed Use,13.99,3,91,107,2.07,78,1,1.74,95,42,2026-05-29
L00068,Sambalpur,Odisha,Sambalpur,Industrial,11.96,9580450,114582182.0,2021,6.1,13.7,94.7,Yes,Yes,Mixed Use,3.83,1,75,128,1.63,59,5,9.84,69,85,2026-05-29
L00069,Bhubaneswar,Odisha,Khordha,Agricultural,24.11,594465,14332551.15,2021,28.1,57.5,112.0,No,Yes,Agricultural,3.63,5,44,104,1.72,91,5,8.36,74,85,2026-05-29
L00070,Hyderabad,Telangana,Hyderabad,Residential,12.27,5479085,67228372.95,2026,43.2,6.0,44.0,No,Yes,Agricultural,19.75,4,74,21,2.93,72,2,11.53,45,62,2026-05-29
L00071,Puri,Odisha,Puri,Agricultural,3.28,9106643,29869789.04,2025,17.9,10.3,24.2,Yes,No,Agricultural,20.17,2,66,135,2.99,69,4,11.41,67,85,2026-05-29
L00072,Cuttack,Odisha,Cuttack,Residential,3.6,10553677,37993237.2,2023,1.0,42.8,101.6,No,Yes,Residential,22.55,3,98,122,1.44,83,2,1.37,47,89,2026-05-29
L00073,Bengaluru,Karnataka,Bengaluru Urban,Agricultural,24.64,14392252,354625089.28,2025,49.5,39.0,114.9,Yes,Yes,Agricultural,5.43,5,48,39,5.41,64,5,8.62,56,82,2026-05-29
L00074,Visakhapatnam,Andhra Pradesh,Visakhapatnam,Residential,3.17,4392183,13923220.11,2026,2.5,55.3,52.8,Yes,Yes,Mixed Use,22.38,3,91,94,4.12,87,4,9.57,82,65,2026-05-29
L00075,Puri,Odisha,Puri,Residential,6.56,11665303,76524387.68,2024,35.4,48.7,34.9,Yes,No,Mixed Use,10.25,3,80,28,2.76,89,2,11.45,74,74,2026-05-29
L00076,Cuttack,Odisha,Cuttack,Agricultural,6.96,3217767,22395658.32,2023,41.7,62.0,87.7,No,No,Mixed Use,10.16,5,56,124,0.93,91,2,2.05,45,51,2026-05-29
L00077,Chennai,Tamil Nadu,Chennai,Residential,10.09,7426295,74931316.55,2016,32.4,18.5,80.5,No,No,Agricultural,18.39,4,97,46,0.88,81,4,9.87,57,65,2026-05-29
L00078,Puri,Odisha,Puri,Industrial,22.55,12827180,289252909.0,2022,40.9,45.6,33.2,Yes,No,Industrial,11.37,3,76,87,0.76,69,1,10.59,48,74,2026-05-29
L00079,Puri,Odisha,Puri,Agricultural,4.59,9507702,43640352.18,2021,27.0,2.7,78.4,Yes,No,Mixed Use,10.59,2,71,63,1.21,75,2,10.13,90,40,2026-05-29
L00080,Rourkela,Odisha,Sundargarh,Industrial,4.7,3160301,14853414.7,2026,37.1,44.8,45.8,No,No,Mixed Use,21.52,2,46,145,2.46,98,5,5.6,68,97,2026-05-29
L00081,Bengaluru,Karnataka,Bengaluru Urban,Commercial,5.52,4700167,25944921.84,2026,31.0,42.6,55.1,No,No,Industrial,16.64,2,58,142,5.64,42,5,6.45,71,53,2026-05-29
L00082,Bhubaneswar,Odisha,Khordha,Residential,7.67,11952232,91673619.44,2016,49.4,43.4,6.3,Yes,Yes,Residential,20.95,1,75,51,1.67,51,2,11.12,66,81,2026-05-29
L00083,Puri,Odisha,Puri,Commercial,6.79,6179961,41961935.19,2024,42.7,60.1,96.6,Yes,Yes,Residential,15.45,4,55,23,2.84,95,3,11.59,68,78,2026-05-29
L00084,Rourkela,Odisha,Sundargarh,Agricultural,7.61,5240922,39883416.42,2021,30.5,16.5,89.8,Yes,Yes,Residential,6.66,1,82,129,0.59,53,3,11.85,42,43,2026-05-29
L00085,Hyderabad,Telangana,Hyderabad,Industrial,0.64,13259095,8485820.8,2025,49.2,26.6,38.0,Yes,No,Agricultural,22.16,5,95,112,5.02,98,4,7.13,97,72,2026-05-29
L00086,Chennai,Tamil Nadu,Chennai,Industrial,21.19,7019549,148744243.31,2017,2.9,79.7,111.6,Yes,Yes,Commercial,10.45,5,70,105,5.14,77,4,8.66,45,86,2026-05-29
L00087,Rourkela,Odisha,Sundargarh,Agricultural,23.83,4311339,102739208.37,2024,6.8,72.6,88.5,No,Yes,Agricultural,24.56,4,77,20,1.96,50,1,10.95,84,73,2026-05-29
L00088,Bhubaneswar,Odisha,Khordha,Commercial,20.07,3765351,75570594.57,2017,25.4,40.5,93.5,Yes,Yes,Agricultural,3.25,3,83,39,3.24,70,4,5.36,52,53,2026-05-29
L00089,Pune,Maharashtra,Pune,Commercial,10.74,7241930,77778328.2,2018,22.5,27.1,29.1,No,Yes,Mixed Use,13.83,1,75,79,0.83,79,2,5.29,92,53,2026-05-29
L00090,Rourkela,Odisha,Sundargarh,Commercial,15.67,12216156,191427164.52,2021,18.0,79.1,108.3,Yes,No,Commercial,6.69,1,67,124,2.43,95,4,6.01,60,72,2026-05-29
L00091,Visakhapatnam,Andhra Pradesh,Visakhapatnam,Residential,2.25,5686782,12795259.5,2016,16.5,55.6,88.2,Yes,No,Commercial,8.92,1,95,49,3.86,45,2,10.69,90,98,2026-05-29
L00092,Puri,Odisha,Puri,Commercial,24.8,11365717,281869781.6,2016,8.1,11.2,33.2,Yes,No,Industrial,3.35,1,65,89,2.45,56,1,11.47,62,53,2026-05-29
L00093,Chennai,Tamil Nadu,Chennai,Agricultural,2.0,13495448,26990896.0,2015,43.9,9.2,18.0,No,No,Mixed Use,5.02,2,83,149,3.95,82,5,1.25,84,70,2026-05-29
L00094,Bengaluru,Karnataka,Bengaluru Urban,Residential,11.14,5712745,63639979.3,2020,19.1,70.9,37.8,Yes,Yes,Mixed Use,18.89,2,57,72,1.87,50,2,11.79,77,74,2026-05-29
L00095,Hyderabad,Telangana,Hyderabad,Industrial,17.03,8632952,147019172.56,2019,1.1,20.0,84.6,Yes,Yes,Agricultural,10.14,5,64,68,5.31,91,2,11.96,100,53,2026-05-29
L00096,Bengaluru,Karnataka,Bengaluru Urban,Industrial,18.73,14838401,277923250.73,2021,47.0,3.0,17.3,No,No,Residential,17.37,3,92,65,2.32,95,3,3.06,75,59,2026-05-29
L00097,Bengaluru,Karnataka,Bengaluru Urban,Residential,7.54,10082267,76020293.18,2021,1.9,17.2,29.6,No,No,Residential,7.53,1,83,88,1.38,58,2,2.61,97,59,2026-05-29
L00098,Pune,Maharashtra,Pune,Residential,2.69,6959844,18721980.36,2018,29.4,28.0,17.3,No,No,Commercial,5.2,4,72,68,4.63,94,5,11.97,68,49,2026-05-29
L00099,Visakhapatnam,Andhra Pradesh,Visakhapatnam,Agricultural,9.89,8443014,83501408.46,2026,49.2,44.9,115.7,Yes,No,Mixed Use,6.81,3,67,56,2.84,75,4,11.48,64,77,2026-05-29
L00100,Sambalpur,Odisha,Sambalpur,Agricultural,4.45,11466712,51026868.4,2024,11.4,75.4,48.5,Yes,Yes,Industrial,21.61,4,40,53,4.01,80,4,11.76,59,70,2026-05-29
L00101,Sambalpur,Odisha,Sambalpur,Residential,5.57,7767640,43265754.8,2024,5.0,63.3,14.6,No,Yes,Commercial,15.91,2,41,73,5.42,42,1,8.49,60,97,2026-05-29
L00102,Bhubaneswar,Odisha,Khordha,Residential,8.34,10932617,91178025.78,2019,21.3,72.6,11.6,No,Yes,Mixed Use,3.38,4,80,52,5.75,42,2,7.3,78,73,2026-05-29
L00103,Sambalpur,Odisha,Sambalpur,Industrial,6.98,1169638,8164073.24,2017,38.4,71.1,44.2,No,Yes,Agricultural,5.71,3,68,26,3.46,67,5,4.34,61,93,2026-05-29
L00104,Puri,Odisha,Puri,Residential,12.09,12959870,156684828.3,2018,4.0,50.3,90.0,Yes,No,Industrial,14.02,3,92,22,2.48,79,3,10.06,53,66,2026-05-29
L00105,Bengaluru,Karnataka,Bengaluru Urban,Agricultural,1.14,997956,1137669.84,2018,36.7,8.3,2.7,No,Yes,Industrial,21.52,2,92,111,1.6,72,5,11.13,82,50,2026-05-29
L00106,Sambalpur,Odisha,Sambalpur,Commercial,7.47,5998072,44805597.84,2016,41.8,52.2,108.8,No,No,Residential,5.97,4,53,138,2.1,88,1,5.17,52,72,2026-05-29
L00107,Visakhapatnam,Andhra Pradesh,Visakhapatnam,Agricultural,13.17,11073775,145841616.75,2018,14.0,42.6,63.1,Yes,Yes,Residential,16.7,2,47,65,2.47,79,2,9.02,69,95,2026-05-29
L00108,Sambalpur,Odisha,Sambalpur,Residential,3.96,12492962,49472129.52,2024,32.7,65.4,92.3,Yes,Yes,Residential,12.68,5,74,67,2.36,52,2,5.9,93,41,2026-05-29
L00109,Chennai,Tamil Nadu,Chennai,Commercial,5.21,3913138,20387448.98,2023,36.7,63.7,26.5,Yes,No,Commercial,9.76,4,50,60,4.23,77,5,10.13,67,58,2026-05-29
L00110,Cuttack,Odisha,Cuttack,Agricultural,12.46,1765213,21994553.98,2017,42.6,77.4,79.7,Yes,Yes,Mixed Use,18.97,3,93,32,2.34,79,5,2.45,70,95,2026-05-29
L00111,Bengaluru,Karnataka,Bengaluru Urban,Agricultural,9.83,10449389,102717493.87,2022,20.4,42.3,36.3,Yes,No,Industrial,6.69,2,49,146,4.88,78,4,8.88,48,97,2026-05-29
L00112,Bhubaneswar,Odisha,Khordha,Residential,2.44,1996251,4870852.44,2015,35.2,21.8,27.0,Yes,Yes,Residential,14.52,2,97,27,4.73,94,3,10.67,100,69,2026-05-29
L00113,Bhubaneswar,Odisha,Khordha,Agricultural,19.51,11920916,232577071.16,2020,14.1,5.4,40.7,Yes,Yes,Mixed Use,17.06,5,53,130,4.25,55,2,11.1,70,77,2026-05-29
L00114,Puri,Odisha,Puri,Industrial,16.86,3245881,54725553.66,2026,24.0,34.9,20.5,Yes,Yes,Commercial,7.06,1,41,142,2.81,64,1,4.31,70,67,2026-05-29
L00115,Puri,Odisha,Puri,Agricultural,4.91,2012899,9883334.09,2023,2.4,77.6,30.6,No,No,Industrial,13.53,5,71,131,5.71,90,1,9.04,70,85,2026-05-29
L00116,Visakhapatnam,Andhra Pradesh,Visakhapatnam,Residential,12.94,14863465,192333237.1,2015,39.1,45.9,104.0,Yes,No,Agricultural,18.12,1,66,50,2.6,86,4,11.02,56,96,2026-05-29
L00117,Puri,Odisha,Puri,Residential,24.28,1165386,28295572.08,2016,1.9,38.8,70.2,Yes,No,Mixed Use,7.57,2,56,89,5.42,55,2,4.81,74,92,2026-05-29
L00118,Chennai,Tamil Nadu,Chennai,Agricultural,18.64,8510346,158632849.44,2019,16.0,47.9,47.9,Yes,No,Industrial,22.91,3,58,122,1.35,79,2,5.44,98,69,2026-05-29
L00119,Pune,Maharashtra,Pune,Residential,22.64,5426534,122856729.76,2020,44.6,3.3,89.5,Yes,No,Agricultural,10.79,5,42,95,0.92,100,1,7.81,94,78,2026-05-29
L00120,Puri,Odisha,Puri,Industrial,15.12,14794431,223691796.72,2025,12.9,2.1,112.4,No,Yes,Commercial,22.4,3,74,63,0.94,93,3,1.13,42,84,2026-05-29
L00121,Rourkela,Odisha,Sundargarh,Commercial,1.13,7196426,8131961.38,2019,37.5,42.7,54.6,No,Yes,Residential,10.43,1,51,111,1.8,45,4,1.71,51,46,2026-05-29
L00122,Cuttack,Odisha,Cuttack,Residential,7.52,7198658,54133908.16,2023,49.7,21.4,22.0,No,No,Mixed Use,20.65,4,86,44,3.19,43,1,8.45,87,51,2026-05-29
L00123,Rourkela,Odisha,Sundargarh,Industrial,16.78,3507891,58862410.98,2022,4.4,40.0,52.8,Yes,Yes,Agricultural,18.86,1,91,122,2.57,70,1,7.54,68,47,2026-05-29
L00124,Puri,Odisha,Puri,Agricultural,6.22,12834940,79833326.8,2016,43.1,21.9,72.9,Yes,No,Commercial,11.17,1,70,81,4.79,100,5,1.11,99,83,2026-05-29
L00125,Sambalpur,Odisha,Sambalpur,Commercial,19.02,2710218,51548346.36,2023,40.0,2.2,102.9,No,No,Residential,8.42,1,91,126,1.13,67,2,7.02,82,88,2026-05-29
L00126,Rourkela,Odisha,Sundargarh,Residential,6.54,742730,4857454.2,2025,18.0,26.1,43.3,No,No,Industrial,6.59,2,73,32,1.7,70,4,3.79,77,55,2026-05-29
L00127,Bengaluru,Karnataka,Bengaluru Urban,Residential,15.18,2049383,31109633.94,2022,24.0,51.0,71.9,Yes,No,Mixed Use,23.39,1,52,23,4.44,93,4,1.47,75,84,2026-05-29
L00128,Visakhapatnam,Andhra Pradesh,Visakhapatnam,Industrial,20.23,9536117,192915646.91,2015,1.0,24.7,47.7,Yes,Yes,Industrial,12.46,3,88,48,4.24,86,1,11.18,47,85,2026-05-29
L00129,Chennai,Tamil Nadu,Chennai,Residential,21.89,8713249,190733020.61,2015,24.3,53.0,66.1,Yes,No,Residential,24.39,4,96,63,0.94,67,2,7.33,64,65,2026-05-29
L00130,Puri,Odisha,Puri,Commercial,6.55,3324675,21776621.25,2017,38.1,10.8,8.9,No,Yes,Industrial,17.61,1,64,109,4.22,56,3,2.61,76,71,2026-05-29
L00131,Visakhapatnam,Andhra Pradesh,Visakhapatnam,Industrial,21.29,9456405,201326862.45,2025,4.7,9.0,27.5,No,No,Agricultural,19.31,5,84,87,2.16,97,2,3.97,53,88,2026-05-29
L00132,Bhubaneswar,Odisha,Khordha,Agricultural,11.45,9761940,111774213.0,2016,27.2,24.6,51.1,No,Yes,Residential,20.69,5,70,88,1.94,73,4,3.23,61,73,2026-05-29
L00133,Visakhapatnam,Andhra Pradesh,Visakhapatnam,Commercial,3.1,6083764,18859668.4,2025,6.2,59.9,9.5,Yes,No,Agricultural,8.55,5,65,35,5.69,98,4,6.13,98,80,2026-05-29
